Age,No. of years in Formal Education,Sector,Household'S Usual Consumer Expenditure In A Month (Rs.)
40,12,0,18958
32,13,0,18958
11,5,0,18958
13,7,0,18958
67,17,0,18958
68,1,0,18958
65,4,0,10217
64,0,0,10217
30,12,0,10217
7,1,0,10217
4,0,0,10217
54,9,0,11583
50,9,0,11583
31,8,0,11583
24,9,0,11583
2,0,0,11583
28,12,0,11583
64,9,0,6017
34,12,0,7417
25,13,0,7417
2,0,0,7417
0,0,0,7417
49,4,0,4492
42,4,0,4492
19,10,0,4492
39,9,0,4600
35,13,0,4600
13,7,0,4600
9,3,0,4600
52,9,0,7667
42,0,0,7667
69,4,0,7667
44,10,0,15350
39,7,0,15350
19,11,0,15350
17,11,0,15350
15,9,0,15350
13,7,0,15350
41,0,0,11650
40,0,0,11650
19,10,0,11650
16,4,0,11650
39,10,0,12633
35,7,0,12633
10,4,0,12633
4,0,0,12633
14,8,0,12633
34,7,0,13067
32,9,0,13067
11,5,0,13067
8,2,0,13067
2,0,0,13067
34,12,0,11642
30,10,0,11642
10,4,0,11642
7,1,0,11642
6,0,0,11642
60,0,0,7117
24,10,0,7117
37,9,0,23158
32,10,0,23158
11,5,0,23158
37,0,0,11100
35,0,0,11100
15,9,0,11100
13,7,0,11100
50,4,0,7375
52,4,0,7375
30,14,0,7375
26,15,0,7375
0,0,0,7375
58,6,0,10958
55,3,0,10958
35,10,0,10958
32,12,0,10958
14,7,0,10958
12,5,0,10958
60,10,0,5008
40,9,0,15133
18,11,0,15133
70,7,0,11750
60,5,0,11750
60,6,0,7617
55,7,0,7617
65,9,0,6250
62,3,0,6250
90,0,0,6250
70,4,0,8217
65,0,0,8217
35,0,0,8217
44,9,0,7383
38,0,0,7383
20,13,0,7383
18,12,0,7383
72,0,0,7383
56,9,0,8700
52,0,0,8700
25,9,0,8700
24,9,0,8700
4,0,0,8700
30,15,0,8700
75,0,0,8700
47,9,0,4167
41,4,0,4167
20,13,0,4167
58,0,0,1375
50,3,0,10500
43,7,0,10500
18,10,0,10500
21,13,0,10500
66,0,0,10250
38,6,0,10250
18,10,0,10250
11,5,0,10250
15,8,0,10250
48,10,0,8667
47,8,0,8667
14,8,0,8667
15,9,0,8667
69,0,0,8667
52,0,0,15467
48,0,0,15467
28,9,0,15467
21,12,0,15467
0,0,0,15467
55,10,0,12900
49,10,0,12900
25,17,0,12900
28,17,0,12900
51,4,0,8267
45,0,0,8267
22,16,0,8267
40,0,0,5392
19,14,0,5392
27,9,0,5900
24,7,0,5900
3,0,0,5900
52,6,0,22692
49,11,0,22692
30,15,0,22692
27,12,0,22692
7,1,0,22692
5,0,0,22692
28,15,0,22692
24,15,0,22692
48,4,0,7267
44,0,0,7267
18,12,0,7267
44,4,0,8392
38,8,0,8392
17,10,0,8392
14,6,0,8392
39,5,0,7833
37,9,0,7833
15,9,0,7833
13,6,0,7833
45,11,0,9167
36,11,0,9167
16,11,0,9167
15,10,0,9167
36,12,0,13017
7,0,0,13017
4,0,0,13017
59,2,0,14542
51,2,0,14542
32,7,0,14542
26,10,0,14542
7,0,0,14542
50,9,0,9333
32,9,0,9333
11,5,0,9333
7,1,0,9333
2,0,0,9333
21,14,0,12875
19,12,0,12875
65,3,0,6917
31,7,0,6917
26,12,0,6917
2,0,0,6917
3,0,0,6917
65,2,0,10717
59,0,0,10717
32,4,0,10717
25,8,0,10717
4,0,0,10717
2,0,0,10717
30,12,0,10717
40,9,0,9667
35,9,0,9667
11,4,0,9667
8,1,0,9667
43,0,0,10317
22,9,0,10317
19,12,0,10317
25,12,0,10317
50,0,0,12925
25,9,0,12925
23,9,0,12925
21,9,0,12925
19,12,0,12925
25,12,0,8033
22,9,0,8033
3,0,0,8033
30,7,0,12267
28,5,0,12267
5,0,0,12267
9,3,0,12267
7,1,0,12267
55,0,0,18133
49,0,0,18133
29,12,0,18133
23,10,0,18133
25,9,0,18133
60,0,0,17833
27,12,0,17833
24,9,0,17833
6,0,0,17833
30,4,0,17833
8,2,0,17833
4,0,0,17833
25,0,0,17833
5,0,0,17833
40,9,0,12167
35,3,0,12167
8,2,0,12167
15,10,0,12167
12,6,0,12167
10,4,0,12167
35,3,0,9667
32,0,0,9667
8,2,0,9667
1,0,0,9667
70,12,0,14750
64,0,0,14750
34,9,0,14750
33,12,0,14750
8,1,0,14750
9,3,0,14750
7,0,0,14750
52,12,0,13500
43,7,0,13500
21,12,0,13500
42,0,0,6883
18,10,0,6883
30,12,0,9567
22,9,0,9567
0,0,0,9567
2,0,0,9567
65,0,0,9567
70,11,0,7833
65,0,0,7833
30,9,0,7833
33,12,0,10583
29,5,0,10583
12,6,0,10583
9,3,0,10583
75,0,0,4600
65,0,0,4600
50,9,0,12017
40,9,0,12017
17,9,0,12017
11,5,0,12017
10,4,0,12017
61,9,0,12833
52,8,0,12833
28,12,0,12833
24,12,0,12833
4,0,0,12833
46,12,0,11250
40,9,0,11250
14,8,0,11250
12,7,0,11250
8,1,0,11250
65,0,0,11250
45,10,0,7000
35,9,0,7000
16,11,0,7000
25,12,0,6667
20,9,0,6667
2,0,0,6667
74,6,0,13333
65,0,0,13333
40,12,0,13333
35,12,0,13333
13,8,0,13333
11,5,0,13333
68,0,0,13333
42,12,0,13833
33,9,0,13833
14,7,0,13833
11,6,0,13833
68,3,0,13833
60,0,0,13833
65,9,0,13250
55,0,0,13250
32,10,0,13250
30,10,0,13250
10,4,0,13250
70,0,0,13250
42,12,0,13250
36,9,0,13250
9,2,0,13250
52,10,0,9800
48,9,0,9800
19,13,0,9800
75,0,0,9800
48,9,0,5492
42,0,0,5492
23,12,0,5492
35,10,0,8983
30,0,0,8983
5,0,0,8983
10,4,0,8983
7,1,0,8983
45,0,0,3142
14,8,0,3142
39,0,0,10025
20,13,0,10025
18,12,0,10025
16,10,0,10025
65,0,0,10025
42,9,0,8658
39,5,0,8658
17,11,0,8658
14,9,0,8658
12,7,0,8658
48,0,0,4358
28,13,0,4358
26,0,0,4402
23,9,0,4402
50,9,0,9958
43,4,0,9958
16,10,0,9958
22,16,0,9958
37,4,0,7833
30,10,0,7833
11,5,0,7833
13,7,0,7833
35,15,0,7833
55,4,0,7833
36,5,0,7833
50,7,0,8833
45,0,0,8833
15,9,0,8833
75,5,0,19667
65,4,0,19667
39,9,0,19667
31,9,0,19667
12,8,0,19667
10,6,0,19667
33,15,0,19667
28,15,0,19667
1,0,0,19667
2,0,0,19667
80,0,0,22417
40,2,0,22417
35,0,0,22417
9,2,0,22417
30,4,0,22417
16,11,0,22417
13,8,0,22417
50,0,0,22417
16,8,0,22417
13,7,0,22417
18,7,0,22417
43,5,0,11250
25,12,0,11250
23,9,0,11250
1,0,0,11250
20,11,0,11250
52,0,0,22000
47,0,0,22000
32,7,0,22000
30,4,0,22000
4,0,0,22000
30,5,0,22000
27,0,0,22000
3,0,0,22000
2,0,0,22000
22,5,0,22000
50,5,0,6617
48,0,0,6617
26,11,0,6617
20,12,0,6617
24,10,0,6617
19,9,0,6617
52,8,0,6501
48,4,0,6501
6,0,0,6501
24,12,0,6501
17,11,0,6501
79,0,0,6501
58,0,0,5933
53,0,0,5933
24,9,0,5933
20,12,0,5933
55,0,0,6108
50,0,0,6108
29,10,0,6108
22,9,0,6108
35,8,0,5576
33,10,0,5576
12,6,0,5576
53,0,0,4734
47,0,0,4734
28,10,0,4734
60,5,0,6143
55,0,0,6143
27,9,0,6143
4,0,0,6143
2,0,0,6143
45,9,0,7284
40,9,0,7284
14,7,0,7284
13,6,0,7284
57,2,0,16950
55,1,0,16950
30,15,0,16950
27,15,0,16950
48,10,0,9150
37,7,0,9150
15,9,0,9150
60,0,0,21117
32,9,0,21117
29,14,0,21117
4,0,0,21117
7,2,0,21117
22,10,0,21117
70,0,0,21117
35,7,0,11092
30,5,0,11092
12,6,0,11092
60,0,0,22325
55,0,0,22325
28,8,0,22325
22,10,0,22325
3,0,0,22325
1,0,0,22325
24,12,0,22325
80,0,0,22325
51,0,0,17250
44,0,0,17250
20,14,0,17250
95,1,0,21150
80,0,0,21150
58,6,0,21150
49,0,0,21150
24,14,0,21150
55,0,0,7817
47,0,0,7817
70,0,0,5457
64,0,0,5457
38,10,0,5457
30,10,0,5457
1,0,0,5457
24,10,0,5457
57,0,0,6733
50,0,0,6733
28,12,0,6733
25,10,0,6733
6,1,0,6733
3,0,0,6733
30,15,0,6733
23,12,0,6733
21,12,0,6733
40,10,0,6315
38,4,0,6315
17,9,0,6315
61,0,0,3402
31,10,0,3402
38,3,0,6567
35,12,0,6567
6,2,0,6567
3,0,0,6567
54,0,0,6705
27,6,0,6705
23,10,0,6705
39,0,0,6482
36,7,0,6482
13,8,0,6482
35,4,0,6482
30,9,0,6482
2,0,0,6482
65,0,0,4277
41,4,0,4277
60,10,0,8428
55,4,0,8428
22,12,0,8428
35,12,0,34550
35,12,0,34550
9,3,0,34550
57,0,0,34550
34,12,0,34550
34,15,0,34550
6,0,0,34550
29,12,0,34550
29,12,0,34550
1,0,0,34550
60,12,0,13942
50,10,0,13942
62,17,0,19842
60,9,0,9808
56,11,0,9808
61,10,0,10875
59,12,0,10875
45,8,0,4200
44,10,0,9967
36,10,0,9967
13,7,0,9967
8,2,0,9967
41,12,0,8125
39,11,0,8125
17,11,0,8125
19,12,0,8125
40,12,0,7100
37,6,0,7100
17,11,0,7100
15,9,0,7100
65,0,0,7100
62,0,0,4767
60,0,0,4767
27,17,0,4767
59,0,0,7292
55,5,0,7292
37,7,0,7292
17,8,0,7292
38,15,0,11158
36,12,0,11158
1,0,0,11158
14,8,0,11158
12,6,0,11158
10,4,0,11158
5,0,0,11158
55,8,0,8125
51,0,0,8125
28,11,0,8125
22,7,0,8125
2,0,0,8125
45,17,0,5767
14,9,0,5767
65,0,0,8067
64,0,0,8067
44,4,0,8067
44,0,0,8067
16,9,0,8067
57,4,0,15680
55,0,0,15680
27,10,0,15680
21,13,0,15680
64,5,0,21875
58,0,0,21875
32,15,0,21875
27,17,0,21875
16,10,0,21875
65,0,0,10380
53,8,0,10380
10,4,0,10380
40,8,0,10380
33,12,0,16850
33,9,0,16850
8,2,0,16850
60,0,0,16850
40,5,0,16850
32,19,0,13063
55,6,0,13063
56,0,0,11230
49,0,0,11230
18,11,0,11230
39,7,0,11130
35,6,0,11130
7,2,0,11130
15,9,0,11130
